Update Names,Occurence
Alternative Routes While Driving,1
Apple Podcasts,1
Automatic 911 Calls,1
Automatic Blind Spot Camera,1
Autopilot Suspension,1
Cabin Camera,19
Castle Doombad Game,1
Custom Lock Sounds,1
Destination Charging Availability,1
Detailed Energy Usage,1
Driving Visualization Improvements,9
Extras,14
Fold Mirrors at a Location,1
FSD Beta v11.4.9,1
FSD Beta v12.1,1
FSD Beta v12.1.1,1
FSD Beta v12.1.2,1
Full Self-Driving (Beta),19
Light Show,2
Live Camera Access,1
Minor Fixes,35
Minor Updates,1
More Cameras in Live Camera View,1
Over-the-Air (OTA) Recall,2
Park Assist Upgrade,1
Play Games on Rear Screen,1
Rear Passenger Headphones,2
Single Pull to Start Autopilot,3
Speed Assist,7
Speed Cameras on Your Route,1
Steering Improvements,1
Tesla Arcade Updates,1
Trip Planner on Mobile App,1
Zoom Video Meetings,1
Adaptive High Beams,1
More Efficient Charging,1
Over-the-Air Recall: Telltale Text Size,1
Reminder to Plug In at Home,1
Security Improvements,1
Faster Hazard Lights After a Crash,1
FSD Beta v11.4.4,4
FSD Beta v12,1
Full Self-Driving (Beta) Suspension,13
Location Sharing,1
Multiplayer Vampire Survivors,1
Predictive Charger Availability,1
Version Improvements,7
Windows During an Update,1
Detailed Intersection View,1
Hebrew Language Added,1
Tesla Vision Update,3
Vampire Survivors Game,3
Automatic Headlights,2
Blind Spot Camera,4
Bluetooth Game Controllers,2
Camera View on Tesla App,2
Charge on Solar,2
Controls Search,2
Customize the Scroll Wheel,2
Destination Closing Soon,2
FSD Beta v11.4.7.1,1
FSD Beta v11.4.7.2,1
FSD Beta v11.4.7.3,1
FSD Beta v11.4.8,1
FSD Beta v11.4.8.1,1
Gear Chimes,2
Get to Know Your Tesla,2
Other Updates,2
Passenger Seat Controls,2
Phone Call Controls,2
Points of Interest,2
Scroll Wheel Customization,2
Spotify Refresh,2
Text Size,3
Tire Service,2
Tire Service Mileage,2
Voice Recognition Language,3
Warmer Display Colors,2
Range Display,11
FSD Beta v11.3.6,3
New Legal Notice,1
Park Assist,5
User guides,6
Refresh Your Data Sharing Settings,1
Video Highlights,2
Zoom Meetings,3
FSD Beta v11.4.1,1
FSD Beta v11.4.2,1
FSD Beta v11.4.3,1
FSD Beta v11.4.5,1
FSD Beta v11.4.6,1
FSD Beta v11.4.7,1
Apple Music,4
Auto Steering Wheel Heat,2
Bug Fix,1
Bugs Introduced in release,5
Dog Mode,6
FSD Beta v11.4,1
New Language Support,2
Park Assist Issues,2
Sentry Mode Live Camera Access,4
Steering Wheel Heat,1
Steering Yoke Heat,1
Trip Planner,1
Bugfix,12
Handwriting Keyboard,2
Highlights of 2023.02,1
HW4 Fixes,1
Mahjong,2
Mango TV,2
Navigation Voice Guidance,3
Sentry Mode Lighting,1
Thai Voice Navigation,1
WeChat Mini Programs,2
Active Phone Calls,2
Autopilot Speed Indicator,2
Boombox,4
Charging Time Estimation,2
Cloud Profiles,2
Language Support,24
New Release,2
Release,2
Vehicle Preconditioning,2
FSD Beta 11.3 (2022.45.5),1
FSD Beta v11.3.1,1
FSD Beta v11.3.2,1
FSD Beta v11.3.3,1
FSD Beta v11.3.4,1
FSD Beta v11.3.5,1
Full Self Driving (Beta) Suspension,2
Over-the-Air (OTA) recall,2
Steam (Beta),2
Always Rainbows,1
Auto Turn Signal,1
Auto Turn Signals,1
Auto-Present Door Handles,1
Bluetooth Games Controllers,1
Bluetooth Gaming Controllers,1
Bugfix (2022.44.30),1
Bugfix (2022.44.30.1),1
Camera-Based Detection,1
China specific release,1
Climate Control Fan Speed,1
Confirm Phone Call Transfer,1
Contact Lookup,1
Contact Lookup/Search,1
Emissions Testing Mode via Mobile App,1
Energy App,5
Exclude Automatic Door Opening at Home,1
FSD Beta 10.69.25.1 (2022.44.30.5),1
FSD Beta 10.69.25.2 (2022.44.30.10),1
FSD Beta v10.69.25 (2022.44.25.5),1
Highlights of 2022.44.25.1/2,1
Language,3
Media Controls,1
Media Controls (and information cards),1
myQ Connected Garage,1
Rear Screen Control,1
Route Guidance,1
Scheduled Light Show,1
Seat Belt System Enhancement,1
Sentry Mode,8
Track Mode,7
Xref Release numbering,1
Bugfix x00,1
Dashcam Viewer,4
Daytime Running Lights,1
Driver Door Unlock Mode,2
EU Map Update EU-2022.40-14215 ,1
FSD Beta v10.69.3.2,1
FSD Beta v10.69.3.3,1
FSD Beta v11,1
Hebrew Voice Navigation,1
Improved Charging Efficiency,1
In App Release notes,1
Radio Station Logos,1
Regenerative Braking,6
Sentry Mode and Dog Mode,1
Supercharger Additional Details,2
Tire Configuration,3
Autopilot Disengagement at Motorway Merges,1
Battery Health,1
Battery Heating Performance,1
Cabin Overheat Protection,2
Car Left Open Notifications,2
Car Visuals,1
Caraoke,2
Dynamic Brake Lights,6
FSD Beta v10.69.3,1
FSD Beta v10.69.3.1,1
In App Mail,1
Remote Drivers Door Unlock,1
Tesla App,1
Alternate Routes,1
Cat Quest,2
Cuphead,1
Smart Summon,2
Sonic,1
Status Bar,4
Theater Mode,2
Auto Rear Climate Controls,1
Bugfix and tweaks,1
Disable Sentry Sounds,1
Driver Profiles,6
Seat Belt Enhancement,2
Supercharging,7
Tesla Adaptive Suspension,2
Tesla Profiles,1
Traffic Along Route,3
Detected.....,1
FSD Beta v10.69.1 ,1
FSD Beta v10.69.1.1,1
