Update Names,Occurrence,Type
Alternative Routes While Driving,1,Map Software
Apple Podcasts,1,Entertainment
Automatic 911 Calls,1,Safety Feature
Automatic Blind Spot Camera,1,Self Driving
Autopilot Suspension,1,Self Driving
Cabin Camera,14,
Castle Doombad Game,1,Entertainment
Custom Lock Sounds,1,
Destination Charging Availability,1,
Detailed Energy Usage,1,
Driving Visualization Improvements,8,
Extras,14,
Fold Mirrors at a Location,1,
FSD Beta v11.4.9,1,Full Self Driving
FSD Beta v12.1,1,Full Self Driving
FSD Beta v12.1.1,1,Full Self Driving
FSD Beta v12.1.2,1,Full Self Driving
Full Self-Driving (Beta),12,Full Self Driving
Light Show,2,Entertainment
Live Camera Access,1,
Minor Fixes,31,Minor Fix
Minor Updates,1,Minor Fix
More Cameras in Live Camera View,1,
Over-the-Air (OTA) Recall,2,Recall
Park Assist Upgrade,1,
Play Games on Rear Screen,1,Entertainment
Rear Passenger Headphones,2,
Single Pull to Start Autopilot,3,
Speed Assist,7,
Speed Cameras on Your Route,1,
Steering Improvements,1,
Tesla Arcade Updates,1,Entertainment
Trip Planner on Mobile App,1,Map Software
Zoom Video Meetings,1,Entertainment
Adaptive High Beams,1,
More Efficient Charging,1,
Over-the-Air Recall: Telltale Text Size,1,
Reminder to Plug In at Home,1,
Security Improvements,1,
Faster Hazard Lights After a Crash,1,
FSD Beta v11.4.4,4,Full Self Driving
FSD Beta v12,1,Full Self Driving
Full Self-Driving (Beta) Suspension,12,Full Self Driving
Location Sharing,1,
Multiplayer Vampire Survivors,1,Entertainment
Predictive Charger Availability,1,
Version Improvements,7,
Windows During an Update,1,
Detailed Intersection View,1,
Hebrew Language Added,1,Language Support
Tesla Vision Update,3,
Vampire Survivors Game,3,Entertainment
Automatic Headlights,2,Self Driving
Blind Spot Camera,4,Safety Feature
Bluetooth Game Controllers,2,Entertainment
Camera View on Tesla App,2,
Charge on Solar,2,
Controls Search,2,
Customize the Scroll Wheel,2,
Destination Closing Soon,2,
FSD Beta v11.4.7.1,1,Full Self Driving
FSD Beta v11.4.7.2,1,Full Self Driving
FSD Beta v11.4.7.3,1,Full Self Driving
FSD Beta v11.4.8,1,Full Self Driving
FSD Beta v11.4.8.1,1,Full Self Driving
Gear Chimes,2,
Get to Know Your Tesla,2,
Other Updates,2,
Passenger Seat Controls,2,Comfort
Phone Call Controls,2,
Points of Interest,2,Map Software
Scroll Wheel Customization,2,
Spotify Refresh,2,Entertainment
Text Size,3,
Tire Service,2,
Tire Service Mileage,2,
Voice Recognition Language,3,Language Support
Warmer Display Colors,2,Comfort
Range Display,5,
FSD Beta v11.3.6,3,Full Self Driving
New Legal Notice,1,
Park Assist,5,
User guides,6,
Refresh Your Data Sharing Settings,1,
Video Highlights,1,
Zoom Meetings,3,Entertainment
FSD Beta v11.4.1,1,Full Self Driving
FSD Beta v11.4.2,1,Full Self Driving
FSD Beta v11.4.3,1,Full Self Driving
FSD Beta v11.4.5,1,Full Self Driving
FSD Beta v11.4.6,1,Full Self Driving
FSD Beta v11.4.7,1,Full Self Driving
Apple Music,4,Entertainment
Auto Steering Wheel Heat,2,
Bug Fix,1,Minor Fix
Bugs Introduced in release,5,Minor Fix
Dog Mode,5,Comfort – Unsure
FSD Beta v11.4,1,Full Self Driving
New Language Support,2,Language Support
Park Assist Issues,2,
Sentry Mode Live Camera Access,4,
Steering Wheel Heat,1,
Steering Yoke Heat,1,
Trip Planner,1,Map Software
Bugfix,11,Minor Fix
Handwriting Keyboard,1,
Highlights of 2023.02,1,
HW4 Fixes,1,
Mahjong,2,
Mango TV,2,Entertainment
Navigation Voice Guidance,3,
Sentry Mode Lighting,1,
Thai Voice Navigation,1,Language Support
WeChat Mini Programs,1,Entertainment
Active Phone Calls,1,
Autopilot Speed Indicator,1,Self Driving
Boombox,3,Entertainment
Charging Time Estimation,1,
Cloud Profiles,1,
Language Support,19,Language Support
New Release,2,
Release,2,
Vehicle Preconditioning,1,
FSD Beta 11.3 (2022.45.5),1,Full Self Driving
FSD Beta v11.3.1,1,Full Self Driving
FSD Beta v11.3.2,1,Full Self Driving
FSD Beta v11.3.3,1,Full Self Driving
FSD Beta v11.3.4,1,Full Self Driving
FSD Beta v11.3.5,1,Full Self Driving
Full Self Driving (Beta) Suspension,2,Full Self Driving
Over-the-Air (OTA) recall,2,Recall
Steam (Beta),2,Entertainment
Always Rainbows,1,Minor Effects to Safety
Auto Turn Signal,1,Self Driving
Auto Turn Signals,1,Self Driving
Auto-Present Door Handles,1,Self Driving
Bluetooth Games Controllers,1,Entertainment
Bluetooth Gaming Controllers,1,Entertainment
Bugfix (2022.44.30),1,Minor Fix
Bugfix (2022.44.30.1),1,Minor Fix
Camera-Based Detection,1,
China specific release,1,
Climate Control Fan Speed,1,
Confirm Phone Call Transfer,1,
Contact Lookup,1,
Contact Lookup/Search,1,
Emissions Testing Mode via Mobile App,1,
Energy App,3,
Exclude Automatic Door Opening at Home,1,
FSD Beta 10.69.25.1 (2022.44.30.5),1,Full Self Driving
FSD Beta 10.69.25.2 (2022.44.30.10),1,Full Self Driving
FSD Beta v10.69.25 (2022.44.25.5),1,Full Self Driving
Highlights of 2022.44.25.1/2,1,
Language,3,Language Support
Media Controls,1,
Media Controls (and information cards),1,
myQ Connected Garage,1,
Rear Screen Control,1,
Route Guidance,1,
Scheduled Light Show,1,
Seat Belt System Enhancement,1,
Sentry Mode,7,
Track Mode,5,
Xref Release numbering,1,
Bugfix x00,1,Minor Fix
Dashcam Viewer,4,
Daytime Running Lights,1,
Driver Door Unlock Mode,2,
EU Map Update EU-2022.40-14215 ,1,Map Data
FSD Beta v10.69.3.2,1,Full Self Driving
FSD Beta v10.69.3.3,1,Full Self Driving
FSD Beta v11,1,Full Self Driving
Hebrew Voice Navigation,1,Language Support
Improved Charging Efficiency,1,
In App Release notes,1,
Radio Station Logos,1,Entertainment
Regenerative Braking,4,
Sentry Mode and Dog Mode,1,
Supercharger Additional Details,2,
Tire Configuration,2,
Autopilot Disengagement at Motorway Merges,1,Self Driving
Battery Health,1,
Battery Heating Performance,1,
Cabin Overheat Protection,2,
Car Left Open Notifications,2,
Car Visuals,1,
Caraoke,2,Entertainment
Dynamic Brake Lights,4,
FSD Beta v10.69.3,1,Full Self Driving
FSD Beta v10.69.3.1,1,Full Self Driving
In App Mail,1,Entertainment
Remote Drivers Door Unlock,1,
Tesla App,1,
Alternate Routes,1,Map Software
Cat Quest,2,Entertainment
Cuphead,1,Entertainment
Smart Summon,2,
Sonic,1,Entertainment
Status Bar,3,
Theater Mode,2,Entertainment
Auto Rear Climate Controls,1,Comfort
Bugfix and tweaks,1,Minor Fix
Disable Sentry Sounds,1,
Driver Profiles,5,
Seat Belt Enhancement,1,
Supercharging,6,
Tesla Adaptive Suspension,1,
Tesla Profiles,1,
Traffic Along Route,2,Map Software
Detected.....,1,
FSD Beta v10.69.1 ,1,Full Self Driving
FSD Beta v10.69.1.1,1,Full Self Driving
FSD Beta v10.69.2,1,Full Self Driving
FSD Beta v10.69.2.1,1,Full Self Driving
FSD Beta v10.69.2.2,1,Full Self Driving
FSD Beta v10.69.2.3,1,Full Self Driving
FSD Beta v10.69.2.4,1,Full Self Driving
Green Traffic Light Chime,2,
Speed Assist #2,1,
Autopilot Maximum Speed,2,Self Driving
Energy Line,1,
Heat Pump & Low Voltage Battery,1,
Navigate On Autopilot Fork Initiation,1,
Navigation Energy Prediction,1,
TeslaMic,2,Entertainment
Visualizations,2,
Additional Bottom Bar Customization,1,
Additional Mobile App Controls,1,
Child Lock,1,
Compass / Always North,1,
Disney+,2,Entertainment
Display,1,
Driving Visualization,11,
FSD Beta v10.12.2,1,Full Self Driving
Navigation Routes,1,
Rear Display,2,
Service Mode,1,
Superchargings List,1,
Tesla Tutorials,1,
Audio Sources,1,
Bilibili,1,Entertainment
Car Colorizer,1,Comfort
Dashcam,8,
FSD Beta New Markets,1,Full Self Driving
FSD Beta v10.11,1,Full Self Driving
Icons in Status Bar,1,
Nearby Superchargers,1,Map Software
NetEase Cloud Music,1,Entertainment
Range Display Calibration,1,
Regenerative Braking in Autopilot,1,
Regenerative Braking on Autopilot,1,
Request Full Self-Driving Beta,1,Full Self Driving
Save Dashcam Clips,2,
Sonic the Hedgehog,2,Entertainment
Tire Pressure API,1,
Windshield Wiper Defrost,1,
Automated Seat Heaters,1,Comfort
Autopark,2,Self Driving
Car Wash Mode,2,
Charging Options,1,
Cold Weather,9,
Customizable App Launcher,1,
Dark Mode,1,Minor Effects to Safety
Detect Uneven Tire Wear,1,
Edit Waypoints,1,
FSD Beta v10.10,1,Full Self Driving
FSD Beta v10.10.2,1,Full Self Driving
FSD Beta v10.7,1,Full Self Driving
FSD Beta v10.8,1,Full Self Driving
FSD Beta v10.8.1,1,Full Self Driving
FSD Beta v10.9,1,Full Self Driving
Heating,1,Comfort
Hide Map Details,1,Map Software
Manage Dashcam Clips,1,
New V11 UI,1,
Rear Cabin Climate,1,
Rear Seatbelt Reminder,1,
Seat and Steering Column Calibration,1,
Simplified Controls,1,
Speed Bump Visualization,1,
Subwoofer,1,
Sudoku,1,Entertainment
TikTok,1,Entertainment
Use Comfort Damping Suspension in Autopilot,1,
Vehicle Sync (Beta),1,
Active Road Noise Reduction,1,Minor Effects to Safety
Add Stop,1,
Additional Information,1,
Alternative Navigation Routes,1,Map Software
Side Repeater Cameras,1,
TIDAL,1,
Traffic Aware Cruise Control Chime,1,
Additional Features in App,1,
Airbag System,1,Safety Feature
Bioweapon Defense Mode,1,Comfort
Car Visualization,1,
FSD Beta v10.3,1,Full Self Driving
FSD Beta v10.3.1,1,Full Self Driving
FSD Beta v10.4,1,Full Self Driving
FSD Beta v10.5,1,Full Self Driving
FSD Beta v10.6,1,Full Self Driving
FSD Beta v10.6.1,1,Full Self Driving
Full Self-Driving (Beta) Terms,1,Full Self Driving
Mobile App,5,
Yoke Behavior Changes,1,
Accessibility,1,
Adaptive Suspension Damping,3,
Immersive Sound,1,
Keyboard,1,
Redesigned Controls Panel,1,
Refreshed QQ,1,
Sirius XM,3,Entertainment
Speed Limit Mode,1,
Detect Emergency Vehicles,1,
Mirror Auto Dim,1,
Navigation Lane Guidance,1,
Navigation Route,1,
Remain Connected to Wi-Fi in Drive,1,
Bluetooth Audio Progress Bar,1,
Sky Force Reloaded,1,
Tesla Powerwall Coordination,2,Entertainment
Tesla Toybox,2,Entertainment
Animal Visualizations,1,Minor Effects to Safety
Autopilot,3,Self Driving
Increased Regenerative Braking in Cold Weather,1,
Music Time Remaining over Bluetooth,1,Entertainment
Navigation,6,Map Software
QQ Lyrics,1,Entertainment
Tesla Theater,4,Entertainment
Voice Recognition,1,Language Support
Autosteer Stop Sign and Stop Light Warning,1,
Emissions Testing Mode,2,
QQ Music,2,Entertainment
Release Notes,1,
Scheduled Departure,2,
Solitaire,1,Entertainment
Supercharging Display,1,
Text Messaging,1,
The Battle of Polytopia,1,Entertainment
TRAX v0.2,1,Entertainment
Unlatching Charge Cable,1,
Vehicle Information,2,
Launch Mode,1,
Media Search,1,Entertainment
Media Sources,1,Entertainment
Spotify,2,Entertainment
Voice Command Language,1,Entertainment
Charge Port Inlet Heater,1,
Efficiency,1,
Glovebox PIN,1,Comfort
Mobile App - Vent Windows,1,
Priority Bluetooth Device,1,
Traffic Light and Stop Sign Control (Beta),6,
Cruise Set Speed,1,
Navigate on Autopilot (Beta),7,
Pedestrian Warning,1,Safety Feature
Suspension Instrument Panel Display,1,
Close Windows on Lock,1,
Notifications History,1,
Suspension,2,
Third-Party Charging Stations,2,
Passenger Face Vent,1,
Tesla Arcade,1,Entertainment
Backup Camera,1,
On-Route Battery Warmup,2,
Pay Per Use Supercharging,1,
TuneIn,1,Entertainment
Walk-Away Door Lock,1,
Fallout Shelter,1,Entertainment
GPS,1,
TRAX,1,Entertainment
Backgammon,2,Entertainment
Maps,3,Map Software
Nearby Charging Sites,1,
Bluetooth,2,Entertainment
Out of Order Supercharger Stalls,1,
Performance and Launch Mode,1,
Voice Command,1,Language Support
Owner's Manual,2,
Additional Vehicle Information,1,
Adjacent Lane Speeds,1,
Air Quality Index and Weather,1,
Camp Mode,1,
Dou DiZhu,1,Entertainment
Happy Mahjong,1,Entertainment
Phone,1,
QR Code for Tesla Service,1,
Shengji,1,Entertainment
Smart Summon (Beta),2,
Stardew Valley,1,
TRAX v0.1,1,Entertainment
Voice Commands,1,Language Support
Voice Keyboard,1,Language Support
Automatic Lane Change,2,Self Driving
Autosteer (Beta),3,Self Driving
Autosteer Stop Sign Warning,1,Self Driving
License Plate Routing,1,
Navigation Guidance View,1,
Wiper,1,
Automatic Navigation,1,Self Driving
Ludicrous Mode Acceleration,1,
Power Increase,1,
Stopping Mode,1,
Summon with Key Fob,3,
Application Launcher,3,
Browser and Streaming Media,1,Entertainment
Conditional Speed Limits,2,
Cuphead - Tesla Edition,1,Entertainment
Driving Dynamics,1,
Emergency Lane Departure Avoidance,2,Safety Feature
Feeling Lucky or Hungry?,1,Map Software
Joe Mode,1,Minor Effects to Safety
Key Fob Security,1,
Lane Departure Avoidance,2,Safety Feature
Software,1,
Web Browser,3,Entertainment
Wheel Configuration,1,
Ximalaya,1,Entertainment
Charging Locations,1,
Chess,1,Entertainment
Linking a Key to a Driver Profile,1,
Media Volume,1,Entertainment
Beach Buggy Racing 2,1,Entertainment
Bopomofo Keyboard,1,
CHAdeMO Adapter Support,1,
Sketchpad,1,Entertainment
Top Speed Performance,1,
CCS Charging,1,
Display Brightness,1,
Lock Confirmation Sound,2,
Summon,4,
Enhanced Summon,2,
HomeLink,1,
Software  Preference,2,
Trip Planner (Beta),1,
Auto High Beam,1,Minor Effects to Safety
Autosteer Stop Light Warning,1,
High Speed Performance,1,
