Update Names,Occurrence,Type,Further Tags
Additional Information,1,User Information,
Additional Vehicle Information,1,User Information,
Get to Know Your Tesla,2,User Information,
In App Release notes,1,User Information,
New Legal Notice,1,User Information,
Owner's Manual,2,User Information,
QR Code for Tesla Service,1,User Information,
Release Notes,1,User Information,
Tesla Tutorials,1,User Information,
User guides,6,User Information,
Vehicle Information,2,User Information,
Release,2,Major Effects to Safety,Unknown
China specific release,1,Unknown,
Detected.....,1,Unknown,
Highlights of 2022.44.25.1/2,1,Unknown,
Highlights of 2023.02,1,Unknown,
New Release,2,Unknown,
Video Highlights,1,Unknown,
Xref Release numbering,1,Unknown,
Auto Turn Signal,1,Self Driving,
Auto Turn Signals,1,Self Driving,
Auto-Present Door Handles,1,Self Driving,
Automatic Blind Spot Camera,1,Self Driving,
Automatic Headlights,2,Self Driving,
Automatic Lane Change,2,Self Driving,
Automatic Navigation,1,Self Driving,
Autopark,2,Self Driving,
Autopilot,3,Self Driving,
Autopilot Disengagement at Motorway Merges,1,Self Driving,
Autopilot Maximum Speed,2,Self Driving,
Autopilot Speed Indicator,1,Self Driving,
Autopilot Suspension,1,Self Driving,
Autosteer (Beta),3,Self Driving,
Autosteer Stop Light Warning,1,Self Driving,
Autosteer Stop Sign and Stop Light Warning,1,Self Driving,
Autosteer Stop Sign Warning,1,Self Driving,
Enhanced Summon,2,Self Driving,
FSD Beta 10.69.25.1 (2022.44.30.5),1,Self Driving,
FSD Beta 10.69.25.2 (2022.44.30.10),1,Self Driving,
FSD Beta 11.3 (2022.45.5),1,Self Driving,
FSD Beta New Markets,1,Self Driving,
FSD Beta v10.10,1,Self Driving,
FSD Beta v10.10.2,1,Self Driving,
FSD Beta v10.11,1,Self Driving,
FSD Beta v10.12.2,1,Self Driving,
FSD Beta v10.3,1,Self Driving,
FSD Beta v10.3.1,1,Self Driving,
FSD Beta v10.4,1,Self Driving,
FSD Beta v10.5,1,Self Driving,
FSD Beta v10.6,1,Self Driving,
FSD Beta v10.6.1,1,Self Driving,
FSD Beta v10.69.1 ,1,Self Driving,
FSD Beta v10.69.1.1,1,Self Driving,
FSD Beta v10.69.2,1,Self Driving,
FSD Beta v10.69.2.1,1,Self Driving,
FSD Beta v10.69.2.2,1,Self Driving,
FSD Beta v10.69.2.3,1,Self Driving,
FSD Beta v10.69.2.4,1,Self Driving,
FSD Beta v10.69.25 (2022.44.25.5),1,Self Driving,
FSD Beta v10.69.3,1,Self Driving,
FSD Beta v10.69.3.1,1,Self Driving,
FSD Beta v10.69.3.2,1,Self Driving,
FSD Beta v10.69.3.3,1,Self Driving,
FSD Beta v10.7,1,Self Driving,
FSD Beta v10.8,1,Self Driving,
FSD Beta v10.8.1,1,Self Driving,
FSD Beta v10.9,1,Self Driving,
FSD Beta v11,1,Self Driving,
FSD Beta v11.3.1,1,Self Driving,
FSD Beta v11.3.2,1,Self Driving,
FSD Beta v11.3.3,1,Self Driving,
FSD Beta v11.3.4,1,Self Driving,
FSD Beta v11.3.5,1,Self Driving,
FSD Beta v11.3.6,3,Self Driving,
FSD Beta v11.4,1,Self Driving,
FSD Beta v11.4.1,1,Self Driving,
FSD Beta v11.4.2,1,Self Driving,
FSD Beta v11.4.3,1,Self Driving,
FSD Beta v11.4.4,4,Self Driving,
FSD Beta v11.4.5,1,Self Driving,
FSD Beta v11.4.6,1,Self Driving,
FSD Beta v11.4.7,1,Self Driving,
FSD Beta v11.4.7.1,1,Self Driving,
FSD Beta v11.4.7.2,1,Self Driving,
FSD Beta v11.4.7.3,1,Self Driving,
FSD Beta v11.4.8,1,Self Driving,
FSD Beta v11.4.8.1,1,Self Driving,
FSD Beta v11.4.9,1,Self Driving,
FSD Beta v12,1,Self Driving,
FSD Beta v12.1,1,Self Driving,
FSD Beta v12.1.1,1,Self Driving,
FSD Beta v12.1.2,1,Self Driving,
Full Self Driving (Beta) Suspension,2,Self Driving,
Full Self-Driving (Beta),12,Self Driving,
Full Self-Driving (Beta) Suspension,12,Self Driving,
Full Self-Driving (Beta) Terms,1,Self Driving,
Navigate On Autopilot Fork Initiation,1,Self Driving,
Park Assist,5,Self Driving,
Park Assist Issues,2,Self Driving,
Park Assist Upgrade,1,Self Driving,
Request Full Self-Driving Beta,1,Self Driving,
Smart Summon,2,Self Driving,
Smart Summon (Beta),2,Self Driving,
Summon,4,Self Driving,
Summon with Key Fob,3,Self Driving,
Tesla Vision Update,3,Self Driving,
Use Comfort Damping Suspension in Autopilot,1,Self Driving,
